City_ID,City,Lat,Lng,Max Temp(C),Humidity(%),Cloudiness(%),Wind Speed(mph),Country,Date
539,saint-jean-de-monts,46.7833,-2.0667,12.370000000000005,83,70,7.87,FR,1702004665
540,homer,59.6425,-151.5483,-1.0699999999999932,82,100,1.54,US,1702004665
541,taunggyi,20.7833,97.0333,18.99000000000001,84,64,2.31,MM,1702004665
542,benjamin constant,-4.3831,-70.0311,25.07000000000005,98,96,0.37,BR,1702004666
543,maiori,40.6485,14.6407,9.330000000000041,55,2,2.12,IT,1702004504
544,hwange,-18.3693,26.5019,23.890000000000043,46,51,1.31,ZW,1702004666
545,khorixas,-20.3667,14.9667,21.53000000000003,24,65,1.75,NA,1702004667
546,yuktae-dong,40.0247,128.1597,7.560000000000002,56,18,3.39,KP,1702004667
547,nova vicosa,-17.8919,-39.3719,22.24000000000001,98,8,1.38,BR,1702004598
548,kamloops,50.6665,-120.3192,1.990000000000009,80,100,2.57,CA,1702004660
549,jhabua,22.7667,74.6,20.900000000000034,69,55,2.25,IN,1702004668
550,kodinsk,58.6881,99.1844,-35.309999999999974,94,32,1.34,RU,1702004668
